         12683048 function calls (12127051 primitive calls) in 18.546 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23978    0.015    0.000    0.015    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      188    0.015    0.000    2.818    0.015 /home/stefan/PycharmProjects/Sokrates3.1/predicatrix2.py:596(get_coreferenced_argument)
    15340    0.015    0.000    0.023    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:1784(_get_dtype)
    32847    0.015    0.000    0.078    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/numeric.py:433(asarray)
      188    0.015    0.000    0.151    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/series.py:2339(sort_values)
21307/17335    0.015    0.000    0.030    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/artist.py:230(stale)
      404    0.015    0.000    0.026    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/scipy/optimize/_hungarian.py:182(_step4)
        4    0.015    0.004    0.015    0.004 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     3015    0.015    0.000    0.108    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:2445(equals)
     3581    0.014    0.000    0.055    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/py2neo/internal/hydration.py:22(hydrate_node)
   128249    0.014    0.000    0.014    0.000 {method 'partition' of 'str' objects}
    43601    0.014    0.000    0.094    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/arrayprint.py:894(<genexpr>)
      650    0.014    0.000    0.061    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/sklearn/utils/validation.py:362(check_array)
    21178    0.014    0.000    0.049    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:513(is_categorical_dtype)
 7728/966    0.014    0.000    0.040    0.000 /usr/lib/python3.6/ast.py:138(_fix)
     4831    0.014    0.000    0.274    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/numeric.py:64(_shallow_copy)
       90    0.014    0.000    0.014    0.000 ops.pyx:404(gemm)
     7728    0.013    0.000    0.023    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/computation/ops.py:105(type)
     8262    0.013    0.000    0.136    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/lib/function_base.py:272(average)
     8430    0.013    0.000    0.015    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/_methods.py:48(_count_reduce_items)
      966    0.013    0.000    0.078    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/computation/expr.py:332(_rewrite_membership_op)
    18386    0.013    0.000    0.086    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:89(is_object_dtype)
     2519    0.013    0.000    0.219    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/base.py:520(_shallow_copy_with_infer)
     5030    0.013    0.000    0.041    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/core/fromnumeric.py:64(_wrapreduction)
     6762    0.013    0.000    0.023    0.000 /usr/lib/python3.6/collections/__init__.py:888(__len__)
        1    0.013    0.013    0.022    0.022 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/neo4j/packstream/constants.py:33(<dictcomp>)
      837    0.013    0.000    0.019    0.000 {method 'unpack_map' of 'neo4j.packstream._unpacker.Unpacker' objects}
      837    0.013    0.000    0.013    0.000 {method 'pack_struct' of 'neo4j.packstream._packer.Packer' objects}
    21742    0.013    0.000    0.013    0.000 {method 'encode' of 'str' objects}
     3473    0.013    0.000    0.060    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/indexes/numeric.py:35(__new__)
    15456    0.013    0.000    0.023    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/computation/scope.py:28(_replacer)
    22303    0.012    0.000    0.071    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/common.py:122(is_sparse)
    28042    0.012    0.000    0.069    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/generic.py:2484(_get_item_cache)
      192    0.012    0.000    3.920    0.020 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/apply.py:219(apply_standard)
     6476    0.012    0.000    0.012    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/cast.py:853(maybe_castable)
      418    0.012    0.000    0.029    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/py2neo/database.py:615(__init__)
    37066    0.012    0.000    0.012    0.000 {built-in method _codecs.utf_8_decode}
    16552    0.012    0.000    0.076    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/dtypes/inference.py:251(is_list_like)
      980    0.012    0.000    0.264    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/series.py:3533(isin)
      215    0.012    0.000    0.060    0.000 {pandas._libs.lib.map_infer}
      918    0.012    0.000    0.209    0.000 /home/stefan/PycharmProjects/Sokrates3.1/simmix.py:625(elmo_sim_generated)
      218    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
    14490    0.012    0.000    0.025    0.000 /usr/lib/python3.6/ast.py:178(iter_child_nodes)
        2    0.012    0.006    0.075    0.037 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/allennlp/modules/elmo_lstm.py:243(load_weights)
     1537    0.012    0.000    0.553    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/internals.py:4388(reindex_indexer)
    16185    0.012    0.000    0.033    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/lib/shape_base.py:350(<genexpr>)
    16185    0.012    0.000    0.022    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/numpy/lib/index_tricks.py:580(__next__)
     3864    0.011    0.000    0.118    0.000 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/computation/ops.py:51(__init__)
      188    0.011    0.000    0.202    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/matplotlib/text.py:276(_get_layout)
      966    0.011    0.000    0.612    0.001 /home/stefan/PycharmProjects/Sokrates3.1/venv/lib/python3.6/site-packages/pandas/core/computation/expr.py:648(visit_Compare)
